question,answer
"What is weapon inspection animation?","Cosmetic animation showing weapon in detail."
"What is aim-down-sight transition?","Switching from hip fire to scoped view."
"What is hit reaction blend?","Blending animations when character receives damage."
"What is limb damage system?","Damage varies based on hit body part."
"What is headshot multiplier?","Extra damage for head hits."
"What is stealth kill animation?","Special animation for silent takedowns."
"What is enemy awareness cone?","AI detection cone representing visual range."
"What is alert state?","AI actively searching for the player."
"What is pursuit state?","AI chasing the player aggressively."
"What is attack state?","AI performing attack animations or actions."
"What is return-to-idle state?","AI returning to patrol after losing target."
"What is sound propagation?","System determining how far sound travels."
"What is smell detection (AI)?","AI detecting players based on scent mechanics."
"What is heat vision?","Mechanic showing heat signatures of entities."
"What is night vision?","Visual filter improving low-light visibility."
"What is thermal scope?","Scope highlighting heat-emitting targets."
"What is jump scare trigger?","Trigger activating sudden scare effects."
"What is horror ambiance?","Audio and visual cues building tension."
"What is heartbeat sensor?","Device detecting nearby enemies via radar pulses."
"What is proximity indicator?","UI showing how close enemies are."
"What is puzzle hint system?","System giving subtle hints for puzzle solving."
"What is objective compass?","UI pointing toward mission objectives."
"What is waypoint tracking?","Tracking routes and distances to objectives."
"What is stamina sprint bar?","UI showing how long player can sprint."
"What is underwater combat?","Combat mechanics adapted for underwater physics."
"What is zero-gravity movement?","Movement system for floating in space environments."
"What is oxygen system?","Resource consumed in underwater or space gameplay."
"What is jetpack mechanic?","Allows short-duration flight using fuel."
"What is grappling traversal?","Moving quickly using grappling tool."
"What is sliding downhill?","Increasing speed when sliding on slopes."
"What is ledge shimmy?","Moving sideways along narrow ledges."
"What is cliff hanging?","Hanging from edges before climbing."
"What is stamina-based climbing?","Climbing limited by stamina bar."
"What is fall damage?","Damage from landing too hard."
"What is safe landing system?","Mechanic reducing fall damage when landing correctly."
"What is parachute deployment?","Opening parachute when falling from height."
"What is glider deployment?","Using a glider to descend safely."
"What is water entry animation?","Animation triggered when entering water."
"What is swimming stamina?","Stamina consumed while swimming."
"What is cold resistance?","Protection against cold environments."
"What is heat resistance?","Protection against hot environments."
"What is hazard suit?","Suit protecting against environmental dangers."
"What is gas mask system?","Protects from toxic gas zones."
"What is radiation system?","Damage from radioactive areas."
"What is contamination level?","Meter showing exposure to toxic environments."
"What is safe shelter zone?","Areas free from environmental hazards."
"What is inventory hotbar?","Quick-access inventory slots for fast item use."
"What is item cooldown?","Delay before an item can be used again."
"What is ammo type?","Different ammo categories for guns."
"What is ammo crafting?","Creating ammo using resources."
"What is reload cancel?","Canceling reload animation early."
"What is peek mechanic?","Leaning left or right to peek."
"What is breathing control?","Holding breath for steady aim."
"What is weapon jamming?","Weapon fails to fire due to durability or overheating."
"What is weapon overheating?","Gun stops firing temporarily due to heat buildup."
"What is weapon customization?","Modifying weapons with attachments."
"What is attachment slot?","Slot for attachments like scopes or grips."
"What is armor tier?","Level of protection offered by armor pieces."
"What is medkit use?","Healing large amounts of health."
"What is bandage use?","Healing small amounts gradually."
"What is adrenaline shot?","Boosting health regeneration or speed."
